sigma		mu		energy
0.195		1.4		5.82852
0.195		1.42		5.8766
0.195		1.44		6.09396
0.195		1.46		5.59545
0.195		1.48		5.85231
0.195		1.5		6.44238
0.195		1.52		6.79124
0.195		1.54		5.96474
0.195		1.56		6.8532
0.195		1.58		6.68206
0.195		1.6		6.54696
0.195		1.62		7.2728
0.195		1.64		7.54049
0.195		1.66		6.86799
0.195		1.68		7.01519
0.195		1.7		8.01253
0.195		1.72		8.46733
0.195		1.74		9.16172
0.195		1.76		7.41632
0.195		1.78		8.79154
0.195		1.8		8.67229
0.195		1.82		9.94347
0.195		1.84		10.3098
0.195		1.86		10.5858
0.195		1.88		11.2866
0.195		1.9		10.1385
0.195		1.92		11.3934
0.195		1.94		11.6015
0.195		1.96		13.0272
0.195		1.98		13.4895
0.214		0		4.38036
0.214		0.02		5.62063
0.214		0.04		5.72662
0.214		0.06		5.08612
0.214		0.08		4.48501
0.214		0.1		4.07993
0.214		0.12		3.78061
0.214		0.14		3.75202
0.214		0.16		2.70777
0.214		0.18		2.79494
0.214		0.2		2.49411
0.214		0.22		2.40825
0.214		0.24		2.42537
0.214		0.26		2.28739
0.214		0.28		2.14716
0.214		0.3		2.56787
0.214		0.32		2.69059
0.214		0.34		3.01349
0.214		0.36		3.49157
0.214		0.38		3.83481
0.214		0.4		3.67204
0.214		0.42		4.0172
0.214		0.44		4.06368
0.214		0.46		4.44455
0.214		0.48		4.61188
0.214		0.5		4.89304
0.214		0.52		4.67983
0.214		0.54		4.75449
0.214		0.56		4.58625
0.214		0.58		4.68235
0.214		0.6		4.7668
0.214		0.62		4.30577
0.214		0.64		4.2468
0.214		0.66		4.63655
0.214		0.68		4.56016
0.214		0.7		4.61892
0.214		0.72		4.36216
0.214		0.74		4.42097
0.214		0.76		4.35961
0.214		0.78		4.62827
0.214		0.8		4.39049
0.214		0.82		4.14655
0.214		0.84		4.29286
0.214		0.86		3.83755
0.214		0.88		3.96662
0.214		0.9		3.86024
0.214		0.92		4.45922
0.214		0.94		3.86982
0.214		0.96		3.98371
0.214		0.98		3.94702
0.214		1		4.26631
0.214		1.02		4.16964
0.214		1.04		4.21338
0.214		1.06		3.96768
0.214		1.08		3.6288
0.214		1.1		3.90923
0.214		1.12		3.80652
0.214		1.14		3.67818
0.214		1.16		3.94739
0.214		1.18		3.97241
0.214		1.2		4.25072
0.214		1.22		3.75695
0.214		1.24		4.41396
0.214		1.26		4.10777
0.214		1.28		4.3168
0.214		1.3		4.24546
0.214		1.32		4.23452
0.214		1.34		4.55374
0.214		1.36		4.40711
0.214		1.38		4.65051
0.214		1.4		4.35593
0.214		1.42		4.37891
0.214		1.44		4.50741
0.214		1.46		4.52587
0.214		1.48		4.8609
0.214		1.5		5.44963
0.214		1.52		5.3367
0.214		1.54		6.18644
0.214		1.56		5.72429
0.214		1.58		5.71202
0.214		1.6		6.0082
0.214		1.62		5.73139
0.214		1.64		6.78426
0.214		1.66		6.92702
0.214		1.68		7.03191
0.214		1.7		6.69894
0.214		1.72		7.59731
0.214		1.74		7.44881
0.214		1.76		7.51595
0.214		1.78		7.75457
0.214		1.8		8.43837
0.214		1.82		8.55983
0.214		1.84		8.52617
0.214		1.86		8.43759
0.214		1.88		9.45354
0.214		1.9		9.87079
0.214		1.92		10.0338
0.214		1.94		10.9674
0.214		1.96		11.2096
0.214		1.98		11.5831
0.233		0		4.63992
0.233		0.02		4.50864
0.233		0.04		4.09645
0.233		0.06		4.18112
0.233		0.08		3.9465
0.233		0.1		3.6171
0.233		0.12		3.61972
0.233		0.14		3.13932
0.233		0.16		2.9442
0.233		0.18		2.53068
0.233		0.2		2.19328
0.233		0.22		2.09814
0.233		0.24		1.7058
0.233		0.26		1.77044
0.233		0.28		1.80856
0.233		0.3		1.87519
0.233		0.32		1.84799
0.233		0.34		2.05897
0.233		0.36		2.46323
0.233		0.38		2.8672
0.233		0.4		2.93033
0.233		0.42		2.80426
0.233		0.44		3.09659
0.233		0.46		3.13292
0.233		0.48		3.41947
0.233		0.5		3.95449
0.233		0.52		3.22008
0.233		0.54		3.512
0.233		0.56		3.49278
0.233		0.58		3.64047
0.233		0.6		3.32512
0.233		0.62		3.55815
0.233		0.64		3.63696
0.233		0.66		3.45015
0.233		0.68		3.43028
0.233		0.7		3.38837
0.233		0.72		3.52383
0.233		0.74		3.71444
0.233		0.76		3.43793
0.233		0.78		3.29452
0.233		0.8		3.59043
0.233		0.82		3.46346
0.233		0.84		3.0232
0.233		0.86		3.43738
0.233		0.88		3.30417
0.233		0.9		3.09562
0.233		0.92		3.56314
0.233		0.94		3.37272
0.233		0.96		3.35228
0.233		0.98		3.41571
0.233		1		3.13981
0.233		1.02		3.2837
0.233		1.04		2.99997
0.233		1.06		2.75523
0.233		1.08		3.21829
0.233		1.1		3.15967
0.233		1.12		3.12457
0.233		1.14		3.40694
0.233		1.16		3.31606
0.233		1.18		3.07328
0.233		1.2		3.52339
0.233		1.22		3.26731
0.233		1.24		3.01306
0.233		1.26		3.21266
0.233		1.28		3.13016
0.233		1.3		3.57651
0.233		1.32		3.4971
0.233		1.34		3.50289
0.233		1.36		3.4488
0.233		1.38		3.62661
0.233		1.4		4.32376
0.233		1.42		3.78885
0.233		1.44		3.5943
0.233		1.46		3.92266
0.233		1.48		4.18105
0.233		1.5		4.25169
0.233		1.52		4.2825
0.233		1.54		4.54613
0.233		1.56		4.77466
0.233		1.58		4.57947
0.233		1.6		4.75557
0.233		1.62		5.29222
0.233		1.64		5.27756
0.233		1.66		5.49934
0.233		1.68		5.57379
0.233		1.7		5.84768
0.233		1.72		6.11366
0.233		1.74		6.68332
0.233		1.76		6.91866
0.233		1.78		7.40182
0.233		1.8		7.8542
0.233		1.82		7.67823
0.233		1.84		8.08284
0.233		1.86		8.29994
0.233		1.88		8.49152
